Component;Ag;Bg;Cg;Dg;Eg;Fg;Ah;Bh;Ch;Dh;Eh;Gh
HNO2;-8,33E-15;4,86E-11;-1,06E-07;1,07E-04;7,39E-02;-7,10E+01;-9,86E-16;7,90E-12;-2,56E-08;4,24E-05;-3,16E-02;-7,04E+01
nitric acid;-1,34E-14;7,82E-11;-1,80E-07;1,69E-04;1,35E-01;-1,25E+02;-1,64E-15;1,33E-11;-4,34E-08;7,15E-05;-5,11E-02;-1,24E+02
CO2;-2,63E-16;1,48E-12;-3,29E-09;4,57E-06;-5,20E-03;-3,93E+02;-6,29E-16;3,17E-12;-5,40E-09;3,09E-06;-1,70E-03;-3,93E+02
water;-2,61E-15;1,59E-11;-3,82E-08;4,76E-05;2,39E-02;-2,39E+02;1,79E-16;-1,76E-12;5,21E-09;3,46E-06;-9,03E-03;-2,39E+02
methane;-6,92E-15;4,34E-11;-1,08E-07;1,34E-04;2,36E-02;-6,73E+01;4,67E-15;-2,76E-11;5,66E-08;-3,63E-05;-2,02E-02;-6,70E+01
oxygen;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
hydrogen;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
CO;4,86E-15;-2,84E-11;6,18E-08;-5,89E-05;-6,62E-02;-1,14E+02;1,81E-16;-3,10E-12;1,39E-08;-2,72E-05;1,81E-02;-1,14E+02
NO2;-3,70E-15;2,18E-11;-4,82E-08;4,92E-05;4,11E-02;3,57E+01;2,74E-16;-2,07E-13;-4,75E-09;1,42E-05;-1,35E-02;3,60E+01
NO;7,33E-16;-4,14E-12;8,68E-09;-8,38E-06;-8,98E-03;8,98E+01;4,54E-16;-2,75E-12;6,17E-09;-6,35E-06;3,14E-03;8,98E+01
H2S;1,60E-14;-9,39E-11;1,80E-07;-8,76E-05;-3,66E-02;-1,84E+01;-7,00E-14;3,00E-10;-4,00E-07;8,00E-05;5,10E-03;-1,93E+01
sulfuric acid;-2,63E-15;1,19E-11;-3,74E-08;1,06E-04;2,07E-01;-7,23E+02;-8,00E-14;4,00E-10;-5,00E-07;3,00E-04;-7,53E-02;-7,23E+02
S8;1,13E-13;-7,80E-10;1,58E-06;-9,87E-04;1,74E-02;9,73E+01;-6,00E-13;3,00E-09;-4,00E-06;1,10E-03;-2,03E-02;9,28E+01
nitrogen;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
ammonia;-7,33E-15;4,44E-11;-1,04E-07;1,19E-04;4,92E-02;-3,93E+01;2,00E-15;-9,00E-12;2,00E-08;9,00E-07;-2,49E-02;-3,89E+01
SO2;1,51E-14;-8,99E-11;1,76E-07;-9,26E-05;-1,43E-03;-2,95E+02;-8,00E-14;3,00E-10;-4,00E-07;1,00E-04;1,00E-04;-2,96E+02
SO3;9,36E-15;-5,77E-11;1,10E-07;-3,31E-05;7,03E-02;-3,91E+02;-8,00E-14;3,00E-10;-5,00E-07;2,00E-04;-2,78E-02;-3,91E+02
N2O4;-2,00E-15;2,00E-11;-6,00E-08;8,00E-05;2,57E-01;16.3;-2,00E-15;2,00E-11;-5,00E-08;9,00E-05;-5,24E-02;18.349