"ID","REACINDEX","REACNAME","COMPNAME","STOCCOEF"
69,2,"CO2water","water",-2
70,2,"CO2water","CO2",-1
71,2,"CO2water","HCO3-",1
72,3,"waterreac","water",-2
73,3,"waterreac","OH-",1
74,3,"waterreac","H3O+",1
75,2,"CO2water","H3O+",1
76,5,"MDEAprot","MDEA+",-1
77,5,"MDEAprot","water",-1
78,5,"MDEAprot","MDEA",1
79,5,"MDEAprot","H3O+",1
80,6,"carbonate","H3O+",1
81,6,"carbonate","CO3--",1
82,6,"carbonate","HCO3-",-1
83,6,"carbonate","water",-1
84,7,"CO2-OH","HCO3-",1
85,7,"CO2-OH","CO2",-1
86,7,"CO2-OH","OH-",-1
87,8,"water-H2S","H2S",-1
88,8,"water-H2S","water",-1
89,8,"water-H2S","HS-",1
90,8,"water-H2S","H3O+",1
91,9,"water-HS","HS-",-1
92,9,"water-HS","water",-1
93,9,"water-HS","S--",1
94,9,"water-HS","H3O+",1
95,10,"Piperazineprot","Piperazine+",1
96,10,"Piperazineprot","water",1
97,10,"Piperazineprot","H3O+",-1
98,10,"Piperazineprot","Piperazine",-1
99,11,"PiperazineCarbamate","Piperazine",-1
100,11,"PiperazineCarbamate","CO2",-1
101,11,"PiperazineCarbamate","water",-1
102,11,"PiperazineCarbamate","H3O+",1
103,11,"PiperazineCarbamate","PZCOO-",1
104,12,"Piperazineprot2","water",-1
105,12,"Piperazineprot2","H+PZCOO-",-1
106,12,"Piperazineprot2","H3O+",1
107,12,"Piperazineprot2","PZCOO-",1
108,13,"Piperazineprot3","PZCOO-",-1
109,13,"Piperazineprot3","CO2",-1
110,13,"Piperazineprot3","water",-1
111,13,"Piperazineprot3","-OOCPZCOO-",1
112,13,"Piperazineprot3","H3O+",1
113,14,"Acetate","AceticAcid",-1
114,14,"Acetate","water",1
115,14,"Acetate","Ac-",1
116,14,"Acetate","OH-",-1
117,16,"MDEACO2S","HCO3-",1
118,16,"MDEACO2S","MDEA+",1
119,16,"MDEAAcidS","CO2",0
120,16,"MDEAAcidS","AceticAcid",-1
121,15,"MDEACO2S","CO2",-1
122,16,"MDEAAcidS","MDEA",-1
123,16,"MDEAAcidS","water",0
124,16,"MDEACO2S","water",-1
125,15,"MDEACO2S","MDEA",-1
126,18,"MDEACO2Acetate","MDEA",-1
127,18,"MDEACO2Acetate","HCO3-",1
128,18,"MDEACO2Acetate","MDEA+",1
129,18,"MDEACO2Acetate","CO2",-1
130,18,"MDEACO2Acetate","water",-1
131,18,"MDEACO2Acetate","Ac-",0
132,19,"MDEAAcid","MDEA",-1
133,19,"MDEAAcid","AceticAcid",-1
134,19,"MDEAAcid","Ac-",1
135,19,"MDEAAcid","MDEA+",1
136,20,"MDEAAcidCH4","MDEA",-1
137,20,"MDEAAcidCH4","HCO3-",0
138,20,"MDEAAcidCH4","water",0
139,20,"MDEAAcidCH4","CO2",0
140,20,"MDEAAcidCH4","Ac-",1
141,20,"MDEAAcidCH4","MDEA+",1
142,20,"MDEAAcidCH4","AceticAcid",-1
143,20,"MDEAAcidCH4","Methane",0
144,21,"MDEACO2CH4","AceticAcid",0
145,21,"MDEACO2CH4","water",-1
146,21,"MDEACO2CH4","CO2",-1
147,21,"MDEACO2CH4","Ac-",0
148,21,"MDEACO2CH4","MDEA+",1
149,21,"MDEACO2CH4","MDEA",-1
150,21,"MDEACO2CH4","HCO3-",1
151,21,"MDEACO2CH4","Methane",0
153,22,"PiperazineCO22","Piperazine+",1
156,22,"PiperazineCO22","Piperazine",-1
158,22,"PiperazineCO22","water",-1
160,23,"PiperazineCO23","CO2",-1
161,23,"PiperazineCO23","water",1
162,23,"PiperazineCO23","Piperazine",-1
165,23,"PiperazineCO23","PZCOO-",1
172,24,"PiperazineCO24","OH-",1
173,24,"PiperazineCO24","PZCOO-",-1
174,24,"PiperazineCO24","H+PZCOO-",1
178,25,"PiperazineCO25","water",1
179,25,"PiperazineCO25","CO2",-1
180,25,"PiperazineCO25","PZCOO-",-1
183,25,"PiperazineCO25","-OOCPZCOO-",1
185,22,"PiperazineCO22","OH-",1
186,23,"PiperazineCO23","OH-",-1
187,24,"PiperazineCO24","water",-1
188,25,"PiperazineCO25","OH-",-1
216,42,"Sulfide","H2S",-1
217,42,"Sulfide","OH-",-1
218,42,"Sulfide","water",1
219,42,"Sulfide","HS-",1
220,43,"Bisulfide","HS-",-1
221,43,"Bisulfide","OH-",-1
222,43,"Bisulfide","water",1
223,43,"Bisulfide","S--",1
224,44,"Piperazinediprotonation","water",-1
225,44,"Piperazinediprotonation","Piperazine++",-1
226,44,"Piperazinediprotonation","Piperazine+",1
227,44,"Piperazinediprotonation","H3O+",1
228,45,"Piperazinemonocarbamante","Piperazine",-1
229,45,"Piperazinemonocarbamante","HCO3-",-1
230,45,"Piperazinemonocarbamante","water",1
231,45,"Piperazinemonocarbamante","PZCOO-",1
232,46,"Piperazinedicarbamate","PZCOO-",-1
233,46,"Piperazinedicarbamate","HCO3-",-1
234,46,"Piperazinedicarbamate","water",1
235,46,"Piperazinedicarbamate","-OOCPZCOO-",1
236,47,"Pzmonocarbamateprotonation","water",-1
237,47,"Pzmonocarbamateprotonation","H+PZCOO-",-1
238,47,"Pzmonocarbamateprotonation","PZCOO-",1
239,47,"Pzmonocarbamateprotonation","H3O+",1
240,48,"H2SMDEAsolbraa","MDEA",-1
241,48,"H2SMDEAsolbraa","H2S",-1
242,48,"H2SMDEAsolbraa","MDEA+",1
243,48,"H2SMDEAsolbraa","HS-",1
244,49,"methanecombustion","methane",-1
245,49,"methanecombustion","oxygen",-2
246,49,"methanecombustion","CO2",1
247,49,"methanecombustion","water",2
